,usgs_number,drainage_area_sq_mi,start_yr,end_yr,tot_days,lat,lon,lat_grid,lon_grid,nash_sutclf_temp,nash_sutclf_temp_days,nash_sutclf_jfm_temp,nash_sutclf_jfm_t_days,nash_sutclf_amj_temp,nash_sutclf_amj_t_days,nash_sutclf_jas_temp,nash_sutclf_jas_t_days,nash_sutclf_ond_temp,nash_sutclf_ond_t_days,nash_sutclf_flow,nash_sutclf_flow_days,nash_sutclf_jfm_flow,nash_sutclf_jfm_f_days,nash_sutclf_amj_flow,nash_sutclf_amj_f_days,nash_sutclf_jas_flow,nash_sutclf_jas_f_days,nash_sutclf_ond_flow,nash_sutclf_ond_f_days,rmsd_temp,nrmsd_temp,ambd_temp,bias_temp,rmsd_flow,nrmsd_flow,ambd_flow,bias_flow
23,3603000.0,2557.0,1962.0,1964.0,586.0,35.92998,-87.743195,35.9375,-87.6875,0.846,586.0,0.05,181.0,-0.011,143.0,0.211,78.0,0.887,184.0,-0.364,624.0,-0.854,181.0,-0.423,167.0,-0.693,92.0,-0.921,184.0,3.138,0.229,-0.176,-2.412,7074.629,4.521,-2.406,-3765.589
24,3604500.0,707.0,1962.0,1964.0,611.0,35.812665,-87.797511,35.8125,-87.8125,0.886,611.0,0.316,181.0,0.283,155.0,0.214,91.0,0.798,184.0,-0.233,612.0,-0.532,181.0,-0.361,155.0,-1.728,92.0,-9.433,184.0,2.624,0.182,-0.142,-2.056,1670.044,3.619,-1.839,-848.479
25,3592825,165.0,1978,1979,325,34.914775,-88.245674,34.9375,-88.1875,0.82,325,-0.152,62,0.328,113,-0.22,92,0.564,58,,325,,62,,113,,92,,58,2.97,0.161,-0.113,-2.084,,,,
26,3592800.0,143.0,1973.0,1978.0,319.0,34.900459000000005,-88.29284100000001,34.9375,-88.3125,0.615,319.0,0.861,62.0,-2.29,54.0,-22.651,82.0,0.669,121.0,-0.244,1654.0,-0.288,392.0,-1.056,364.0,-13.032,438.0,0.136,460.0,5.116,0.379,0.153,2.065,638.89,5.654,0.951,107.425
27,3584500.0,1784.0,1962.0,1964.0,554.0,35.027403,-86.94783100000001,35.0625,-86.9375,0.571,554.0,0.1,173.0,-2.807,140.0,-9.74,92.0,0.258,149.0,-0.263,597.0,-0.52,181.0,-0.569,140.0,-0.096,92.0,-0.529,184.0,4.484,0.293,0.042,0.64,7048.554,4.964,-2.476,-3515.919
28,3571000.0,633.0,1962.0,1971.0,3282.0,35.206427000000005,-85.497112,35.1875,-85.4375,-0.418,3282.0,-1.32,751.0,-8.163,862.0,-25.256,888.0,-0.057,781.0,-0.095,3480.0,-0.371,822.0,-0.2,910.0,-1.417,920.0,-0.056,828.0,7.149,0.46,0.232,3.603,1208.421,4.331,-1.772,-494.426
29,3560110.0,424.0,2002.0,2005.0,747.0,34.993351000000004,-84.381869,34.9375,-84.4375,-1.52,747.0,0.174,171.0,-9.862,169.0,-41.558,243.0,0.658,164.0,-2.398,792.0,-4.18,181.0,-1.387,182.0,-2.984,245.0,-3.78,184.0,7.792,0.499,0.303,4.732,979.16,1.228,-1.02,-813.665
30,3558000.0,177.0,1964.0,1967.0,1169.0,34.790062,-84.239839,34.8125,-84.1875,0.304,1169.0,0.702,270.0,-4.799,273.0,-11.222,350.0,0.642,276.0,-0.887,1169.0,-1.433,270.0,-3.691,273.0,-0.441,350.0,-0.666,276.0,5.061,0.364,0.223,3.1,601.208,1.566,-1.078,-413.808
31,3519500.0,2443.0,1962.0,1963.0,339.0,35.604452,-84.211481,35.5625,-84.1875,-5.842,339.0,-2.178,83.0,-88.965,91.0,-151.243,73.0,-2.171,92.0,-4.261,365.0,-1.572,90.0,-7.014,91.0,-18.059,92.0,-24.037,92.0,10.043,0.77,0.431,5.625,6091.57,1.174,-1.058,-5491.522
32,3460795.0,538.0,1997.0,2015.0,2616.0,35.783559000000004,-83.11203,35.8125,-83.0625,-0.099,1986.0,-104.558,17.0,-0.097,628.0,-2.457,1143.0,-2.718,198.0,-0.405,4988.0,-1.196,1173.0,-0.702,1239.0,-0.104,1288.0,-0.322,1288.0,3.325,0.165,-0.083,-1.681,1153.428,1.534,-0.967,-727.132
33,3532000.0,685.0,1962.0,1975.0,2774.0,36.542012,-83.630323,36.5625,-83.6875,0.792,2774.0,-0.089,681.0,0.519,684.0,-1.722,698.0,0.563,711.0,-0.19,4739.0,-0.393,1173.0,-0.503,1183.0,-0.551,1187.0,-0.136,1196.0,3.358,0.228,-0.069,-1.019,2187.49,3.489,-1.64,-1028.534
34,3531500.0,319.0,2007.0,2009.0,821.0,36.661944,-83.094646,36.6875,-83.0625,0.805,821.0,0.468,188.0,0.481,272.0,-3.888,184.0,0.658,177.0,0.129,831.0,-0.039,191.0,-0.037,272.0,-5.668,184.0,0.417,184.0,3.116,0.196,-0.018,-0.294,622.555,3.641,-1.287,-220.098
35,3529500.0,112.0,1949.0,1950.0,364.0,36.868846000000005,-82.775674,36.8125,-82.8125,0.564,364.0,0.215,90.0,-0.451,91.0,-2.88,91.0,0.738,92.0,0.148,365.0,0.008,90.0,-0.215,91.0,-4.474,92.0,0.19,92.0,3.98,0.32,0.093,1.162,411.245,2.603,-0.5,-79.079
36,3527000.0,1123.0,1949.0,1967.0,1057.0,36.648628,-82.75046999999999,36.6875,-82.8125,0.81,1057.0,-0.075,268.0,0.727,273.0,-0.805,276.0,0.277,240.0,-0.336,6574.0,-0.651,1624.0,-0.571,1638.0,-0.517,1656.0,-0.344,1656.0,3.313,0.229,-0.112,-1.624,2907.089,3.589,-1.885,-1527.157
37,3526990,133.0,2009,2012,808,36.655218,-82.74343,36.6875,-82.6875,0.8,415,0.1,90,0.736,91,-2.077,50,0.326,184,,415,,90,,91,,50,,184,2.932,0.269,0.064,0.694,,,,
38,3524550.0,100.0,1996.0,2012.0,1317.0,36.878663,-82.406181,36.9375,-82.4375,0.797,954.0,0.601,180.0,0.412,219.0,-2.793,284.0,0.639,271.0,0.05,730.0,-0.36,180.0,-0.079,182.0,-1.236,184.0,-0.01,184.0,3.279,0.246,0.094,1.248,271.059,2.582,-0.925,-97.091
39,3526000.0,106.0,1996.0,1998.0,946.0,36.673811,-82.56578,36.6875,-82.5625,0.53,946.0,-1.005,213.0,-0.008,273.0,-6.143,276.0,0.383,184.0,-0.033,946.0,-0.449,213.0,-0.118,273.0,-0.546,276.0,-0.008,184.0,4.064,0.276,0.021,0.304,237.59,2.22,-0.716,-76.569
40,3488450.0,21.0,1979.0,1981.0,836.0,36.791649,-82.019369,36.8125,-82.0625,0.802,836.0,0.643,175.0,0.017,182.0,-0.694,203.0,0.259,276.0,-32.721,842.0,-39.501,181.0,-21.589,182.0,-235.248,203.0,-40.322,276.0,3.239,0.297,0.236,2.571,261.209,15.831,4.16,68.646
42,3488500.0,401.0,1951.0,1956.0,1658.0,36.774774,-82.07262800000001,36.8125,-82.0625,0.768,1658.0,0.213,429.0,0.236,412.0,0.019,404.0,0.669,413.0,-0.109,1825.0,-0.454,452.0,-0.341,455.0,-0.701,460.0,-0.088,458.0,4.303,0.312,-0.034,-0.475,838.818,4.153,-1.805,-364.681
43,3488445.0,4.0,1979.0,1981.0,509.0,36.855808,-82.045385,36.8125,-82.0625,0.103,509.0,0.291,41.0,-1.557,180.0,-2.965,114.0,-1.739,174.0,-794.325,786.0,-1425.788,181.0,-739.843,182.0,-383.381,184.0,-594.645,239.0,5.41,0.506,0.438,4.683,249.753,52.58,18.278,86.821
44,3473000.0,303.0,1949.0,1973.0,2189.0,36.651589,-81.844081,36.6875,-81.8125,0.129,2189.0,0.648,542.0,-3.097,546.0,-18.944,552.0,0.267,549.0,-0.27,8766.0,-0.403,2166.0,-0.82,2184.0,-0.916,2208.0,-0.304,2208.0,6.217,0.478,0.318,4.131,652.755,2.205,-1.195,-353.592
45,3475000.0,206.0,2007.0,2009.0,719.0,36.713004,-81.818771,36.6875,-81.8125,0.28,719.0,0.67,169.0,-2.145,194.0,-16.861,180.0,0.196,176.0,-0.458,14397.0,-0.571,3519.0,-0.645,3610.0,-1.151,3680.0,-0.698,3588.0,5.813,0.398,0.258,3.768,381.725,2.463,-0.78,-120.889
46,3495500,3747.0,1980,1985,1983,36.01618,-83.83215,36.0625,-83.8125,0.668,1983,-0.471,477,-0.912,517,-0.495,532,0.365,457,,1983,,477,,517,,532,,457,3.62,0.228,-0.065,-1.032,,,,
